usage_id,customer_id,usage_date,login_count,session_duration_minutes,feature_used
50,8330,2025-07-17,1,161,Analytics
51,6995,2025-12-19,9,147,Export Data
52,836,2025-10-23,2,153,Export Data
53,675,2025-09-10,4,119,Reports
54,8788,2026-04-19,6,110,Dashboard
55,8175,2026-04-27,10,99,Analytics
56,3727,2026-04-27,4,35,Dashboard
57,5695,2025-12-03,5,112,Dashboard
58,6578,2026-02-27,3,44,Dashboard
59,2161,2025-11-16,4,74,AI Assistant
60,1932,2025-08-11,5,130,Analytics
61,1022,2026-02-02,7,108,Reports
62,2007,2026-05-29,7,40,Forecasting
63,5,2025-11-26,10,23,Automation
64,9282,2025-06-21,10,99,Export Data
65,7246,2026-02-18,9,178,Automation
66,692,2026-03-31,4,19,Dashboard
67,1551,2026-03-18,9,149,Forecasting
68,5611,2026-02-15,2,85,Analytics
69,9801,2026-02-20,3,128,AI Assistant
70,5906,2026-03-11,3,155,Reports
71,7397,2025-11-19,8,81,Dashboard
72,9115,2025-09-25,8,64,Analytics
73,9851,2025-12-31,5,31,Reports
74,2301,2025-11-20,7,124,Reports
75,2936,2025-12-14,4,90,Export Data
76,3585,2026-01-29,10,70,Export Data
77,3575,2026-01-24,10,101,Export Data
78,6614,2025-08-18,5,145,Export Data
79,3436,2026-04-10,10,129,Reports
80,3286,2025-08-16,1,32,Forecasting
81,6522,2026-03-03,8,54,Dashboard
82,1911,2026-01-30,5,77,Dashboard
83,8184,2026-06-09,4,103,Reports
84,4612,2026-02-15,5,104,Analytics
85,7193,2025-08-21,4,45,Forecasting
86,4421,2026-03-15,4,67,Automation
87,3549,2025-12-08,1,173,Forecasting
88,7955,2025-07-12,7,72,AI Assistant
89,5652,2026-02-09,5,162,AI Assistant
90,9787,2026-04-12,8,104,Forecasting
91,33,2026-01-26,6,41,Dashboard
92,5142,2026-05-06,10,102,Automation
93,6519,2025-06-29,2,127,Reports
94,6002,2025-11-04,10,18,Export Data
95,4167,2025-07-16,9,82,Analytics
96,5621,2026-03-16,10,114,AI Assistant
97,2159,2025-10-10,2,30,Reports
98,4163,2025-11-16,2,35,Automation
99,6566,2026-03-09,8,87,Dashboard
100,9230,2025-12-22,7,19,Dashboard
101,2320,2025-08-25,4,128,Export Data
102,6725,2025-12-29,8,101,Reports
103,3075,2026-01-09,8,78,Forecasting
104,2267,2025-06-30,1,43,Analytics
105,9915,2025-12-18,8,8,Dashboard
106,2830,2026-05-20,3,39,Automation
107,2530,2025-11-22,6,155,Analytics
108,6402,2026-05-18,6,162,Automation
109,4178,2026-03-11,9,31,Automation
110,8620,2025-06-26,5,171,Forecasting
111,2056,2025-08-02,8,66,Automation
112,6306,2026-04-06,3,113,Analytics
113,9034,2025-10-20,9,46,AI Assistant
114,734,2025-10-13,10,70,Dashboard
115,5979,2026-01-09,5,96,Forecasting
116,9579,2025-07-17,8,161,Export Data
117,9684,2025-12-30,5,68,Analytics
118,3253,2025-12-18,3,97,Reports
119,2646,2025-10-08,8,110,Dashboard
120,265,2026-02-03,10,78,Reports
121,9936,2026-02-22,6,13,Forecasting
122,5280,2026-02-15,10,123,Reports
123,6280,2026-04-23,1,50,Export Data
124,9883,2025-10-04,4,147,Export Data
125,8234,2025-09-01,9,115,Dashboard
126,3087,2025-10-04,3,163,AI Assistant
127,2770,2026-03-18,1,63,Dashboard
128,787,2026-04-11,10,59,Reports
129,930,2025-09-11,8,108,AI Assistant
130,5107,2025-08-12,9,116,Dashboard
131,3795,2025-07-08,9,127,Forecasting
132,9444,2025-09-27,9,164,Forecasting
133,36,2026-05-01,5,17,Forecasting
134,1259,2025-09-17,8,61,Dashboard
135,1909,2025-10-25,8,66,Export Data
136,1447,2026-03-15,6,53,Export Data
137,8192,2025-09-25,9,55,Export Data
138,3251,2026-03-11,5,119,AI Assistant
139,1516,2026-04-27,5,50,AI Assistant
140,5995,2025-07-01,4,54,AI Assistant
141,2168,2025-08-25,2,88,AI Assistant
142,7435,2025-07-20,2,148,Forecasting
143,7106,2025-12-08,4,158,AI Assistant
144,6199,2026-03-26,5,20,Dashboard
145,530,2025-11-08,3,41,Automation
146,6927,2025-09-17,7,131,Forecasting
147,2898,2026-03-15,1,49,Analytics
148,7533,2025-10-12,2,161,Reports
149,9152,2025-10-23,10,146,AI Assistant
150,9297,2025-10-19,3,105,Automation
151,2225,2025-12-18,5,34,Export Data
152,9305,2025-09-19,3,132,Analytics
153,4157,2026-05-04,5,164,AI Assistant
154,4429,2026-02-21,4,31,Automation
155,8362,2026-04-05,9,20,Dashboard
156,3870,2026-05-24,8,65,Export Data
157,1397,2025-09-21,4,17,Forecasting
158,6390,2025-07-21,5,79,Analytics
159,3029,2026-01-16,2,177,Automation
160,5655,2026-04-14,1,178,Export Data
161,1052,2025-11-10,4,112,Automation
162,8684,2026-03-26,1,153,AI Assistant
163,7235,2025-08-10,4,18,AI Assistant
164,7702,2026-03-26,6,67,Automation
165,7043,2025-07-20,4,71,Dashboard
166,1851,2026-03-10,6,13,Automation
167,9563,2026-02-03,6,16,Forecasting
168,3929,2026-04-05,3,65,Forecasting
169,7154,2025-07-02,3,44,AI Assistant
170,1452,2026-05-06,8,50,Analytics
171,4356,2026-05-17,3,55,Automation
172,769,2025-12-29,5,162,Forecasting
173,2341,2025-11-25,2,114,Reports
174,6964,2025-06-22,7,69,Automation
175,4073,2025-10-17,5,172,Dashboard
176,7582,2026-01-27,9,170,Reports
177,1351,2026-04-10,6,90,Dashboard
178,3258,2025-08-30,10,128,Analytics
179,4300,2025-07-07,6,22,Dashboard
180,2135,2025-12-14,10,74,Export Data
181,220,2025-10-29,8,58,Export Data
182,9449,2026-03-26,9,118,Automation
183,8671,2026-03-31,1,112,AI Assistant
184,6600,2026-05-31,10,95,Reports
185,8446,2026-01-18,3,15,Forecasting
186,4157,2025-06-25,5,131,Analytics
187,8695,2025-12-21,9,16,Automation
188,9804,2026-01-26,4,45,Reports
189,9668,2025-10-02,9,68,Forecasting
190,1061,2026-04-07,3,116,Forecasting
191,1240,2026-02-11,4,80,Automation
192,1367,2026-04-22,10,25,Reports
193,8283,2026-03-11,10,142,Export Data
194,4323,2025-07-28,3,17,Automation
195,9769,2025-08-16,7,112,Forecasting
196,558,2025-12-28,2,104,AI Assistant
197,5061,2026-01-24,5,170,AI Assistant
198,4767,2025-07-13,7,17,Dashboard
199,6241,2025-09-12,5,14,Analytics
200,1325,2025-07-23,4,54,AI Assistant
201,9895,2026-02-14,7,5,Export Data
202,4362,2026-03-03,5,17,Automation
203,3687,2026-02-09,6,128,AI Assistant
204,5236,2025-09-06,5,147,Forecasting
205,107,2026-04-01,5,105,Analytics
206,808,2025-08-13,6,51,Reports
207,6773,2026-03-29,8,165,Dashboard
208,3282,2026-01-09,7,160,Dashboard
209,6091,2026-03-12,6,165,Export Data
210,2605,2026-06-10,3,60,Forecasting
211,3604,2025-07-06,1,149,AI Assistant
212,5613,2025-08-15,4,110,Export Data
213,6852,2025-06-28,9,8,Dashboard
214,9540,2025-12-25,4,169,Forecasting
215,1193,2025-12-16,3,170,Reports
216,8141,2026-05-06,6,64,Analytics
217,4270,2026-04-22,6,31,Dashboard
218,9701,2025-07-29,9,165,Export Data
219,974,2025-12-16,9,157,AI Assistant
220,1864,2026-05-05,6,68,Analytics
221,5537,2026-01-03,10,93,Reports
222,1181,2026-02-25,4,42,Reports
223,2461,2025-12-03,5,32,Analytics
224,5426,2026-04-07,4,155,Forecasting
225,4027,2026-01-07,9,102,AI Assistant
226,7148,2025-07-28,1,57,Automation
227,4442,2026-05-28,6,30,Reports
228,5249,2025-11-24,1,101,Reports
229,8946,2026-01-18,2,6,Analytics
230,1573,2025-08-07,8,84,AI Assistant
231,7833,2026-01-06,7,161,Export Data
232,1357,2025-12-15,4,38,AI Assistant
233,8924,2026-06-11,4,152,Reports
234,4434,2025-12-18,9,50,Export Data
235,7019,2025-08-04,3,150,Export Data
236,8317,2025-12-30,5,164,Dashboard
237,5413,2025-08-19,7,115,Forecasting
238,3230,2026-06-19,10,168,Export Data
239,1033,2025-06-29,5,102,Reports
240,1065,2026-01-26,7,152,Reports
241,2289,2026-02-24,10,119,Forecasting
242,7763,2026-06-06,6,60,Automation
243,584,2025-10-22,5,35,Export Data
244,4171,2026-01-22,3,90,Dashboard
245,1559,2025-12-26,2,9,Reports
246,6258,2025-11-09,6,148,Forecasting
247,9350,2025-12-28,9,10,Reports
248,6017,2025-12-12,4,114,Reports
249,8494,2025-08-09,9,22,Analytics
250,9348,2026-05-29,2,122,Analytics
251,4980,2026-03-30,8,38,Dashboard
252,1666,2025-09-16,10,172,Analytics
253,9002,2025-09-08,8,98,Dashboard
254,5445,2026-03-11,8,42,Export Data
255,204,2026-02-11,8,10,Automation
256,1951,2025-07-27,5,156,Export Data
257,200,2025-12-10,2,135,Reports
258,8827,2025-08-29,1,112,Automation
259,5048,2025-08-30,3,105,Export Data
260,7262,2025-11-19,3,160,Automation
261,3767,2025-08-08,2,175,Export Data
262,3217,2025-10-28,10,20,Forecasting
263,6852,2026-01-08,5,20,Dashboard
264,3662,2025-11-30,3,113,Reports
265,7187,2026-06-17,1,160,Forecasting
266,4676,2026-03-24,10,79,Dashboard
267,8097,2025-10-16,5,53,Automation
268,8228,2025-10-14,10,29,Reports
269,1019,2026-04-04,9,157,Reports
270,7986,2025-07-23,5,46,Analytics
271,8848,2026-01-06,3,179,Export Data
272,7529,2025-07-01,7,111,Dashboard
273,9649,2026-01-20,6,119,Automation
274,7148,2025-09-20,3,152,AI Assistant
275,7672,2025-12-25,4,49,Analytics
276,7905,2025-09-15,6,47,Export Data
277,5602,2026-01-20,9,114,Export Data
278,5716,2026-04-28,9,65,Reports
279,7082,2025-12-14,8,95,Analytics
280,1451,2025-10-26,2,161,Reports
281,832,2025-12-14,10,16,Automation
282,2548,2026-04-01,1,44,Analytics
283,8689,2025-12-16,1,145,Export Data
284,5835,2025-06-28,4,64,Dashboard
285,7987,2025-12-25,4,93,Export Data
286,1580,2025-07-08,3,177,Reports
287,9902,2025-09-01,4,42,Analytics
288,9945,2025-10-24,7,35,Dashboard
289,5494,2025-12-04,4,174,AI Assistant
290,9559,2026-02-03,9,142,Dashboard
291,8114,2026-01-16,10,147,Export Data
292,5427,2025-10-09,9,36,Reports
293,7864,2026-03-22,8,164,Forecasting
294,4477,2026-04-10,5,58,Dashboard
295,2356,2025-11-29,7,63,AI Assistant
296,3519,2025-07-29,3,26,Analytics
297,5775,2026-06-20,4,167,Reports
298,3865,2025-08-14,6,76,Dashboard
299,3289,2025-12-22,6,94,Analytics
300,1023,2025-09-29,6,156,Reports
301,9068,2025-11-25,10,5,Export Data
302,9520,2026-01-06,1,47,Reports
303,9221,2025-09-26,1,130,Dashboard
304,5324,2025-10-18,6,51,Export Data
305,1850,2025-12-17,2,172,AI Assistant
306,9849,2025-10-10,1,124,Dashboard
307,9904,2025-08-09,2,137,Forecasting
308,2452,2025-11-28,2,126,Export Data
309,4403,2025-12-14,10,64,Automation
310,2253,2025-11-11,6,105,Reports
311,7509,2025-07-06,4,122,Automation
312,7304,2025-10-29,3,35,Analytics
313,422,2025-08-09,1,137,Dashboard
314,9378,2026-05-31,3,179,Export Data
315,1871,2025-09-10,2,165,AI Assistant
316,6574,2026-06-04,7,24,AI Assistant
317,305,2025-12-24,5,114,Export Data
318,5568,2025-07-29,2,107,Analytics
319,9101,2026-04-14,2,118,Analytics
320,1616,2025-07-06,2,169,Forecasting
321,3332,2025-10-10,3,19,Forecasting
322,915,2025-06-30,10,113,Reports
323,3619,2025-10-26,6,8,Reports
324,2707,2025-12-01,8,105,AI Assistant
325,8373,2026-06-20,10,124,Export Data
326,3433,2025-08-06,5,52,Forecasting
327,9233,2025-07-13,5,88,Automation
328,4856,2026-05-12,5,105,Reports
329,3157,2026-05-27,10,58,Reports
330,9903,2026-03-24,4,128,Reports
331,8301,2026-02-12,5,7,Forecasting
332,8762,2025-09-30,5,78,AI Assistant
333,6709,2025-11-23,4,147,Automation
334,5184,2025-12-18,4,20,Reports
335,4060,2026-01-01,2,98,Automation
336,148,2026-02-23,4,78,Export Data
337,779,2025-09-01,9,134,Dashboard
338,5712,2025-07-01,2,172,AI Assistant
339,70,2025-06-29,7,138,Automation
340,3550,2025-08-18,6,85,Reports
341,1820,2025-07-15,8,100,Reports
342,581,2025-09-28,8,172,AI Assistant
343,6390,2025-12-20,6,150,Reports
344,3325,2025-09-01,1,35,Analytics
345,9519,2025-11-25,10,20,AI Assistant
346,9338,2025-08-13,7,85,AI Assistant
347,7431,2025-12-02,3,98,Dashboard
348,5280,2026-06-09,7,105,Analytics
349,9423,2026-03-14,1,146,Reports
350,6005,2025-09-01,3,76,Reports
351,4362,2026-04-24,8,81,Automation
352,2004,2026-03-22,10,32,Reports
353,8489,2025-07-17,9,156,AI Assistant
354,1060,2026-06-11,2,99,Dashboard
355,611,2025-11-23,8,163,Forecasting
356,6569,2026-06-04,2,13,Export Data
357,485,2025-09-04,7,90,Export Data
358,2644,2025-12-30,8,55,Automation
359,1745,2025-12-21,8,146,Automation
360,8347,2025-10-21,8,131,Automation
361,861,2025-08-02,1,65,Forecasting
362,8503,2026-05-21,2,29,Forecasting
363,8626,2026-02-18,6,165,Reports
364,3548,2026-03-31,4,73,Automation
365,2116,2026-06-14,3,131,Reports
366,7633,2025-08-23,8,174,Dashboard
367,9241,2026-02-25,4,65,Analytics
368,3007,2026-06-15,5,89,Analytics
369,4388,2025-11-22,2,111,AI Assistant
370,8686,2025-11-11,7,25,Export Data
371,9072,2025-10-03,5,171,AI Assistant
372,8988,2025-09-26,9,147,Export Data
373,5789,2025-12-26,7,157,AI Assistant
374,1659,2025-10-28,6,175,Reports
375,6889,2026-02-28,5,170,Analytics
376,5593,2025-12-22,6,60,AI Assistant
377,4776,2025-07-23,1,123,Reports
378,1239,2025-10-10,6,169,Dashboard
379,6250,2025-08-02,9,30,Analytics
380,8275,2025-10-02,7,63,Automation
381,4568,2025-11-21,9,114,Export Data
382,6596,2026-02-02,4,37,Dashboard
383,4228,2025-08-18,7,138,Automation
384,7757,2025-07-21,1,154,AI Assistant
385,4106,2025-12-23,4,95,Export Data
386,4816,2025-10-30,1,8,Automation
387,4434,2026-04-21,10,33,Automation
388,2520,2025-10-14,10,49,Forecasting
389,6846,2025-09-21,1,41,Export Data
390,4960,2025-07-24,3,146,Forecasting
391,8058,2026-04-23,10,90,Analytics
392,1354,2026-02-02,10,172,Analytics
393,6580,2025-07-02,4,178,Analytics
394,3915,2025-12-13,1,164,Analytics
395,5647,2026-02-13,7,136,Dashboard
396,4276,2026-01-11,3,17,Analytics
397,8687,2026-02-21,4,41,AI Assistant
398,419,2025-11-25,5,87,AI Assistant
399,538,2026-06-08,9,96,Automation
400,1750,2026-03-07,9,114,Analytics
401,7624,2025-11-13,9,10,Export Data
402,3366,2026-04-14,10,23,Forecasting
403,4743,2025-07-17,3,30,AI Assistant
404,144,2025-07-12,3,148,Reports
405,5437,2026-04-05,7,151,Export Data
406,9089,2025-08-11,10,113,Export Data
407,5696,2025-09-01,6,131,AI Assistant
408,4925,2025-07-23,5,116,Export Data
409,2312,2026-02-07,9,161,Forecasting
410,7833,2026-05-29,8,173,AI Assistant
411,5589,2025-09-06,10,129,Reports
412,4708,2026-03-05,1,59,AI Assistant
413,944,2025-11-21,5,36,Dashboard
414,8391,2025-11-25,8,146,Forecasting
415,808,2025-08-15,4,78,AI Assistant
416,532,2025-06-30,6,39,Export Data
417,1708,2025-12-06,6,139,Dashboard
418,9966,2025-07-27,3,15,Export Data
419,1515,2025-08-30,5,76,Dashboard
420,3891,2025-10-16,3,19,Export Data
421,4267,2025-11-26,1,143,Export Data
422,4491,2025-12-06,9,30,Dashboard
423,5073,2026-05-01,8,108,Forecasting
424,6608,2025-09-06,3,118,Forecasting
425,1707,2025-10-05,3,130,Export Data
426,9260,2025-11-05,5,36,Reports
427,8552,2025-12-11,9,145,Reports
428,9071,2026-06-06,1,168,Forecasting
429,6424,2026-02-06,10,62,Reports
430,2026,2026-03-15,4,102,Automation
431,3601,2025-09-08,3,73,AI Assistant
432,6404,2026-04-19,3,139,Analytics
433,6176,2025-07-06,2,27,Automation
434,5536,2025-07-09,7,106,Automation
435,9130,2025-08-04,7,113,Dashboard
436,8850,2026-02-06,2,165,Export Data
437,1872,2026-01-21,7,134,Reports
438,4938,2025-08-27,1,91,Export Data
439,3266,2026-04-07,5,151,Reports
440,9521,2026-06-14,6,108,Reports
441,9967,2026-06-07,2,11,Export Data
442,4674,2026-06-04,4,180,AI Assistant
443,361,2025-06-24,2,166,Forecasting
444,8172,2025-07-06,3,112,AI Assistant
445,2846,2025-08-26,3,49,Automation
446,1052,2026-03-06,2,53,Reports
447,1003,2026-03-22,6,17,Dashboard
448,5496,2026-01-28,3,172,Automation
449,9713,2025-07-01,6,25,Dashboard
450,520,2025-09-09,10,131,Automation
451,9778,2026-05-27,2,137,Forecasting
452,3537,2025-08-18,3,88,Analytics
453,6193,2026-03-03,6,134,Export Data
454,3682,2025-12-11,1,37,Analytics
455,9229,2025-08-10,1,168,Forecasting
456,4042,2026-04-10,5,25,Dashboard
457,4669,2025-07-31,9,6,Reports
458,2411,2026-03-02,10,32,AI Assistant
459,6262,2025-09-15,8,97,Analytics
460,7328,2025-09-26,9,145,Export Data
461,1651,2026-05-01,9,162,Analytics
462,365,2025-08-26,3,126,Dashboard
463,1938,2025-08-13,6,26,Export Data
464,9473,2025-09-07,2,148,Dashboard
465,6132,2025-10-14,3,70,Reports
466,794,2025-11-11,9,71,Analytics
467,3957,2025-10-05,1,129,Reports
468,4246,2026-06-05,2,158,Dashboard
469,3760,2025-10-30,9,59,Dashboard
470,2884,2026-02-24,9,137,Reports
471,504,2025-11-18,10,135,Dashboard
472,1709,2025-08-07,2,39,Forecasting
473,4943,2025-07-09,9,94,Reports
474,837,2025-08-23,1,75,Analytics
475,2078,2025-09-05,7,55,Export Data
476,9766,2026-02-20,1,121,Reports
477,1154,2025-11-03,2,10,Automation
478,8868,2025-11-15,9,84,Reports
479,6060,2025-07-17,6,49,Reports
480,1528,2025-10-10,1,72,Dashboard
481,6865,2025-10-24,9,28,Forecasting
482,4986,2026-03-04,3,111,Forecasting
483,9948,2026-02-07,2,97,Analytics
484,4224,2025-07-11,6,41,Forecasting
485,7440,2025-09-16,5,150,Reports
486,9963,2026-02-18,3,138,Automation
487,7209,2026-02-17,4,149,Export Data
488,1404,2026-04-20,7,153,AI Assistant
489,7263,2026-02-05,9,30,Export Data
490,6147,2025-10-19,10,131,Forecasting
491,3111,2026-05-14,7,142,Dashboard
492,6666,2026-01-08,10,17,Export Data
493,5061,2025-10-24,4,75,Forecasting
494,7688,2026-02-25,3,58,Analytics
495,6083,2025-09-14,9,156,Forecasting
496,918,2025-10-07,9,27,Dashboard
497,3248,2025-12-04,2,146,Analytics
498,7349,2025-10-18,4,7,Dashboard
499,556,2025-11-11,3,146,AI Assistant
500,4215,2026-04-04,9,159,Analytics
501,662,2025-09-09,1,19,Dashboard
502,4289,2026-01-07,10,138,Export Data
503,5571,2025-09-13,10,63,Reports
504,6536,2025-09-07,10,45,Export Data
505,9578,2025-11-07,8,123,Forecasting
506,9131,2025-08-13,5,30,Export Data
507,1740,2026-05-30,3,153,AI Assistant
508,2106,2025-07-12,7,32,Export Data
509,7644,2026-04-17,5,65,Automation
510,8360,2026-03-15,7,96,Analytics
511,1300,2026-02-27,6,46,AI Assistant
512,7709,2026-01-02,5,133,Dashboard
513,9198,2025-12-09,6,40,Automation
514,8557,2026-01-06,6,89,Reports
515,6133,2025-06-30,5,104,Automation
516,3609,2026-01-31,8,68,Analytics
517,8487,2026-01-28,5,165,Forecasting
518,7390,2025-10-26,3,180,Forecasting
519,8597,2026-01-25,4,31,Forecasting
520,6647,2025-12-09,6,96,Reports
521,2677,2026-01-12,6,118,Dashboard
522,4715,2025-10-28,5,81,Automation
523,3749,2026-06-10,3,44,Export Data
524,9551,2025-08-13,5,156,Export Data
525,5030,2025-07-21,2,71,Forecasting
526,2868,2026-04-12,2,158,AI Assistant
527,4187,2025-10-13,7,19,Dashboard
528,5116,2026-03-21,5,99,Analytics
529,4149,2025-07-09,6,79,Forecasting
530,5539,2026-03-07,10,142,Analytics
531,34,2025-10-27,4,126,AI Assistant
532,3023,2026-01-13,10,83,Export Data
533,1678,2026-01-05,7,10,Export Data
534,3459,2026-04-23,6,12,Reports
535,140,2026-02-05,9,135,Reports
536,936,2025-07-07,5,46,Analytics
537,7467,2025-12-05,9,9,AI Assistant
538,8513,2026-04-12,6,15,Automation
539,7658,2026-01-05,2,23,Automation
540,7702,2025-10-02,4,35,Forecasting
541,2883,2026-06-18,10,166,Dashboard
542,1147,2025-07-27,5,105,Export Data
543,4271,2025-12-27,9,83,Analytics
544,212,2025-09-30,10,61,Analytics
545,3576,2026-03-23,8,29,Forecasting
546,6385,2026-03-14,8,154,Dashboard
547,6109,2026-01-08,2,141,Forecasting
548,8361,2025-07-22,7,115,Dashboard
549,7877,2026-04-04,1,23,Forecasting
550,7386,2026-04-17,5,56,Analytics
551,7290,2026-06-21,6,11,Export Data
552,1523,2026-04-30,6,88,Forecasting
553,7766,2026-03-11,6,150,Reports
554,9318,2025-11-28,10,9,Analytics
555,5789,2025-12-25,3,134,Forecasting
556,5948,2025-07-20,6,104,Forecasting
557,5167,2026-03-03,7,59,AI Assistant
558,8674,2025-07-02,7,59,Export Data
559,5900,2025-09-23,10,60,AI Assistant
560,2130,2026-05-08,1,156,Export Data
561,5224,2025-07-01,9,53,Analytics
562,5033,2026-06-03,10,22,AI Assistant
563,4035,2025-10-01,6,154,AI Assistant
564,1750,2026-06-05,8,94,Automation
565,9621,2025-06-23,1,85,AI Assistant
566,2832,2025-08-02,3,117,AI Assistant
567,5917,2026-01-08,2,137,Automation
568,5851,2025-09-04,8,180,AI Assistant
569,6969,2025-06-21,4,8,Automation
570,7942,2026-01-06,3,65,Export Data
571,3845,2026-03-11,5,21,Export Data
572,220,2025-08-27,9,58,Export Data
573,7521,2025-09-08,3,126,Forecasting
574,1538,2025-08-31,6,134,Reports
575,7314,2026-01-05,9,25,Automation
576,8793,2026-04-05,5,123,Analytics
577,3556,2025-11-08,8,172,Export Data
578,1218,2026-01-06,7,156,Automation
579,9621,2026-03-08,6,43,Forecasting
580,27,2025-08-07,6,158,Analytics
581,21,2025-08-26,8,142,Analytics
582,421,2025-09-30,5,162,AI Assistant
583,6765,2025-12-24,10,62,Export Data
584,8444,2026-04-05,4,156,Export Data
585,4409,2025-11-23,6,81,Reports
586,3761,2025-11-17,5,69,Automation
587,8354,2026-02-24,2,42,Dashboard
588,3384,2026-01-01,5,39,Export Data
589,6046,2025-06-30,7,30,Analytics
590,4808,2026-03-23,6,139,Export Data
591,3768,2025-08-23,8,119,Automation
592,8307,2025-07-10,3,118,AI Assistant
593,7361,2026-03-05,5,74,Forecasting
594,1427,2025-09-06,7,50,Dashboard
595,7214,2026-02-11,1,13,Analytics
596,6204,2025-07-16,10,84,Automation
597,8565,2026-05-28,7,42,Analytics
598,1098,2025-11-26,3,34,Analytics
599,6821,2025-08-26,1,104,Analytics
600,9456,2025-08-15,10,24,Automation
601,478,2025-11-10,3,66,Analytics
602,9297,2026-02-09,2,17,AI Assistant
603,9415,2025-12-19,6,119,Reports
604,3375,2026-02-09,1,23,Automation
605,6253,2026-02-10,4,58,Dashboard
606,5901,2026-03-10,1,41,Reports
607,8213,2026-02-27,6,129,Export Data
608,9997,2025-11-03,8,129,Forecasting
609,8675,2026-04-04,1,52,Forecasting
610,6333,2026-04-02,8,110,Dashboard
611,7755,2026-03-19,8,69,Reports
612,1337,2025-07-26,5,69,Export Data
613,2482,2025-07-12,8,8,AI Assistant
614,3947,2026-06-18,4,167,Automation
615,4179,2025-11-08,5,82,Dashboard
616,9011,2026-01-09,4,73,Forecasting
617,1499,2025-06-24,6,131,AI Assistant
618,4532,2025-11-18,5,179,Dashboard
619,8399,2026-04-03,10,50,Export Data
620,1585,2026-01-19,7,40,Forecasting
621,4913,2026-01-03,4,40,AI Assistant
622,9690,2025-12-10,6,8,Dashboard
623,291,2025-09-27,1,179,Analytics
624,7361,2026-04-28,5,78,Reports
625,4446,2025-10-11,2,52,AI Assistant
626,8330,2025-10-09,9,41,Reports
627,710,2026-03-29,7,5,Analytics
628,4696,2026-06-15,4,9,AI Assistant
629,4599,2025-07-26,5,110,Dashboard
630,955,2025-10-15,3,104,Dashboard
631,578,2025-07-21,4,124,AI Assistant
632,7388,2025-06-23,6,54,Forecasting
633,1796,2025-11-17,3,116,Forecasting
634,2237,2026-01-14,10,124,Forecasting
635,711,2026-03-02,1,13,Reports
636,4081,2026-01-25,2,24,Automation
637,2892,2025-08-19,8,36,Export Data
638,1767,2026-05-04,9,18,Dashboard
639,2314,2025-06-23,7,76,Export Data
640,9745,2026-04-17,8,58,AI Assistant
641,9714,2026-03-18,10,26,AI Assistant
642,4191,2025-07-27,5,90,Dashboard
643,5745,2025-07-08,2,47,Reports
644,4820,2026-06-19,10,115,Export Data
645,9973,2025-10-04,9,64,AI Assistant
646,5062,2026-03-08,10,51,Export Data
647,8959,2025-11-28,9,137,Export Data
648,7597,2025-07-02,6,76,Export Data
649,5859,2025-07-26,10,16,Automation
650,8719,2026-04-02,2,148,Export Data
651,2697,2025-09-06,8,113,Analytics
652,6340,2025-11-24,4,144,Dashboard
653,2305,2025-09-26,6,81,Forecasting
654,3359,2025-09-25,5,113,Forecasting
655,7716,2025-09-06,4,146,AI Assistant
656,8346,2026-02-01,4,179,Forecasting
657,8947,2025-11-21,10,170,Export Data
658,9809,2026-01-28,5,117,Forecasting
