subscription_id,customer_id,plan_name,monthly_price,start_date,end_date,status
35,46,Basic,499,2024-12-31,2099-12-31,Active
36,47,Enterprise,2999,2026-01-02,2099-12-31,Active
37,48,Basic,499,2024-07-16,2099-12-31,Active
38,49,Basic,499,2025-02-12,2099-12-31,Active
39,50,Pro,999,2025-09-07,2099-12-31,Active
40,51,Enterprise,2999,2025-03-27,2099-12-31,Active
41,52,Basic,499,2024-10-22,2099-12-31,Active
42,53,Pro,999,2026-03-27,2099-12-31,Active
43,54,Basic,499,2026-05-04,2099-12-31,Active
44,55,Basic,499,2026-05-11,2099-12-31,Active
45,56,Enterprise,2999,2024-07-06,2099-12-31,Active
46,57,Pro,999,2026-01-11,2099-12-31,Active
47,58,Pro,999,2024-08-14,2099-12-31,Active
48,59,Basic,499,2025-12-09,2099-12-31,Active
49,61,Basic,499,2025-03-21,2025-06-25 00:00:00,Cancelled
50,62,Basic,499,2025-01-09,2025-10-19 00:00:00,Cancelled
51,63,Enterprise,2999,2025-09-16,2099-12-31,Active
52,64,Enterprise,2999,2025-04-06,2099-12-31,Active
53,65,Basic,499,2025-08-09,2099-12-31,Active
54,66,Enterprise,2999,2026-03-06,2099-12-31,Active
55,67,Basic,499,2025-06-03,2099-12-31,Active
56,69,Basic,499,2025-04-09,2099-12-31,Active
57,70,Basic,499,2025-06-07,2099-12-31,Active
58,71,Basic,499,2024-11-04,2099-12-31,Active
59,72,Pro,999,2026-03-06,2099-12-31,Active
60,73,Enterprise,2999,2025-12-16,2099-12-31,Active
61,75,Basic,499,2025-12-09,2099-12-31,Active
62,76,Enterprise,2999,2025-10-20,2026-04-02 00:00:00,Cancelled
63,77,Enterprise,2999,2025-03-01,2099-12-31,Active
64,78,Pro,999,2026-01-18,2099-12-31,Active
65,79,Enterprise,2999,2025-07-10,2099-12-31,Active
66,80,Enterprise,2999,2025-11-12,2026-02-12 00:00:00,Cancelled
67,81,Pro,999,2026-04-07,2099-12-31,Active
68,82,Enterprise,2999,2024-09-24,2099-12-31,Active
69,83,Basic,499,2026-01-01,2099-12-31,Active
70,84,Enterprise,2999,2025-05-25,2099-12-31,Active
71,85,Basic,499,2026-01-16,2099-12-31,Active
72,86,Enterprise,2999,2025-08-26,2099-12-31,Active
73,87,Basic,499,2026-04-11,2099-12-31,Active
74,88,Enterprise,2999,2024-08-26,2099-12-31,Active
75,89,Enterprise,2999,2025-01-04,2099-12-31,Active
76,90,Pro,999,2025-12-17,2099-12-31,Active
77,91,Pro,999,2024-09-14,2099-12-31,Active
78,92,Enterprise,2999,2026-05-13,2099-12-31,Active
79,95,Pro,999,2026-02-27,2099-12-31,Active
80,96,Pro,999,2026-03-26,2099-12-31,Active
81,97,Pro,999,2026-05-16,2099-12-31,Active
82,98,Basic,499,2026-03-05,2099-12-31,Active
83,100,Pro,999,2026-04-09,2099-12-31,Active
84,101,Enterprise,2999,2024-08-17,2099-12-31,Active
85,102,Basic,499,2025-03-03,2099-12-31,Active
86,103,Pro,999,2025-07-10,2099-12-31,Active
87,104,Pro,999,2025-04-06,2099-12-31,Active
88,105,Pro,999,2024-10-09,2099-12-31,Active
89,106,Basic,499,2025-02-02,2025-12-21 00:00:00,Cancelled
90,107,Basic,499,2024-09-28,2099-12-31,Active
91,108,Basic,499,2026-01-25,2099-12-31,Active
92,109,Pro,999,2026-03-26,2099-12-31,Active
93,110,Basic,499,2025-10-11,2099-12-31,Active
94,111,Basic,499,2024-09-20,2099-12-31,Active
95,112,Pro,999,2026-05-04,2099-12-31,Active
96,114,Basic,499,2024-07-24,2099-12-31,Active
97,115,Enterprise,2999,2026-01-26,2099-12-31,Active
98,116,Enterprise,2999,2025-09-04,2099-12-31,Active
99,117,Pro,999,2025-03-20,2025-08-18 00:00:00,Cancelled
100,118,Basic,499,2024-12-29,2099-12-31,Active
101,119,Pro,999,2025-08-17,2099-12-31,Active
102,120,Basic,499,2026-02-17,2026-07-17 00:00:00,Cancelled
103,121,Pro,999,2024-06-26,2099-12-31,Active
104,123,Enterprise,2999,2024-12-06,2099-12-31,Active
105,124,Enterprise,2999,2025-06-19,2026-05-30 00:00:00,Cancelled
106,125,Enterprise,2999,2026-01-17,2099-12-31,Active
107,126,Pro,999,2024-10-13,2099-12-31,Active
108,127,Pro,999,2025-06-23,2099-12-31,Active
109,128,Pro,999,2024-08-21,2099-12-31,Active
110,129,Pro,999,2024-08-19,2099-12-31,Active
111,131,Pro,999,2025-03-31,2099-12-31,Active
112,132,Basic,499,2025-12-04,2099-12-31,Active
113,133,Enterprise,2999,2025-02-13,2099-12-31,Active
114,134,Pro,999,2026-01-29,2099-12-31,Active
115,135,Pro,999,2025-08-11,2099-12-31,Active
116,136,Enterprise,2999,2024-12-09,2099-12-31,Active
117,137,Pro,999,2026-04-26,2099-12-31,Active
118,138,Enterprise,2999,2024-12-14,2099-12-31,Active
119,139,Basic,499,2025-05-30,2026-04-05 00:00:00,Cancelled
120,140,Enterprise,2999,2025-08-24,2026-01-22 00:00:00,Cancelled
121,141,Basic,499,2026-03-24,2099-12-31,Active
122,142,Pro,999,2026-03-19,2099-12-31,Active
123,143,Pro,999,2026-02-24,2099-12-31,Active
124,144,Enterprise,2999,2024-08-12,2099-12-31,Active
125,145,Enterprise,2999,2025-11-28,2099-12-31,Active
126,146,Enterprise,2999,2025-04-24,2099-12-31,Active
127,147,Enterprise,2999,2026-06-20,2099-12-31,Active
128,148,Pro,999,2024-06-23,2099-12-31,Active
129,149,Basic,499,2024-08-14,2099-12-31,Active
130,151,Enterprise,2999,2025-06-25,2099-12-31,Active
131,152,Basic,499,2025-01-11,2025-09-24 00:00:00,Cancelled
132,153,Pro,999,2026-01-18,2099-12-31,Active
133,154,Enterprise,2999,2024-08-01,2099-12-31,Active
134,155,Pro,999,2026-05-05,2099-12-31,Active
135,156,Basic,499,2024-11-12,2099-12-31,Active
136,157,Enterprise,2999,2025-09-04,2099-12-31,Active
137,158,Basic,499,2025-02-25,2099-12-31,Active
138,159,Pro,999,2025-08-07,2099-12-31,Active
139,161,Basic,499,2024-10-08,2025-01-03 00:00:00,Cancelled
140,162,Pro,999,2026-02-20,2099-12-31,Active
141,163,Enterprise,2999,2024-08-07,2099-12-31,Active
142,164,Enterprise,2999,2026-04-09,2099-12-31,Active
143,165,Basic,499,2025-01-23,2099-12-31,Active
144,166,Basic,499,2025-04-15,2099-12-31,Active
145,167,Enterprise,2999,2025-10-12,2099-12-31,Active
146,168,Pro,999,2024-08-14,2099-12-31,Active
147,169,Enterprise,2999,2024-07-17,2099-12-31,Active
148,171,Pro,999,2025-01-23,2099-12-31,Active
149,174,Enterprise,2999,2025-01-26,2099-12-31,Active
150,175,Basic,499,2024-07-09,2099-12-31,Active
151,176,Enterprise,2999,2024-07-18,2099-12-31,Active
152,178,Enterprise,2999,2026-03-08,2099-12-31,Active
153,179,Basic,499,2025-02-02,2099-12-31,Active
154,180,Pro,999,2024-10-24,2099-12-31,Active
155,181,Enterprise,2999,2024-12-15,2099-12-31,Active
156,182,Enterprise,2999,2025-06-30,2025-10-09 00:00:00,Cancelled
157,183,Enterprise,2999,2024-10-18,2025-01-20 00:00:00,Cancelled
158,184,Pro,999,2024-11-18,2099-12-31,Active
159,185,Basic,499,2025-02-05,2099-12-31,Active
160,186,Pro,999,2024-11-09,2099-12-31,Active
161,187,Enterprise,2999,2025-03-27,2099-12-31,Active
162,188,Pro,999,2024-09-11,2099-12-31,Active
163,189,Basic,499,2026-02-23,2026-08-19 00:00:00,Cancelled
164,190,Pro,999,2025-04-15,2099-12-31,Active
165,191,Pro,999,2025-01-24,2099-12-31,Active
166,193,Enterprise,2999,2025-12-10,2099-12-31,Active
167,194,Basic,499,2025-12-19,2099-12-31,Active
168,195,Pro,999,2024-09-30,2099-12-31,Active
169,196,Pro,999,2024-09-15,2099-12-31,Active
170,197,Pro,999,2025-07-23,2025-09-21 00:00:00,Cancelled
171,198,Pro,999,2026-05-17,2099-12-31,Active
172,199,Enterprise,2999,2025-09-15,2026-04-29 00:00:00,Cancelled
173,200,Enterprise,2999,2026-05-07,2099-12-31,Active
174,201,Basic,499,2025-03-21,2099-12-31,Active
175,202,Pro,999,2025-04-11,2099-12-31,Active
176,203,Basic,499,2025-03-27,2099-12-31,Active
177,204,Basic,499,2025-03-10,2025-10-07 00:00:00,Cancelled
178,205,Basic,499,2024-12-12,2099-12-31,Active
179,207,Basic,499,2026-02-08,2026-06-14 00:00:00,Cancelled
180,209,Enterprise,2999,2024-08-23,2099-12-31,Active
181,210,Basic,499,2024-11-12,2099-12-31,Active
182,212,Basic,499,2025-01-15,2099-12-31,Active
183,213,Pro,999,2025-07-20,2099-12-31,Active
184,214,Enterprise,2999,2024-12-30,2025-01-31 00:00:00,Cancelled
185,215,Enterprise,2999,2024-07-25,2099-12-31,Active
186,216,Enterprise,2999,2025-03-10,2025-04-10 00:00:00,Cancelled
187,217,Basic,499,2025-06-23,2099-12-31,Active
188,218,Basic,499,2025-11-11,2099-12-31,Active
189,219,Basic,499,2026-05-12,2099-12-31,Active
190,220,Basic,499,2025-09-21,2099-12-31,Active
191,221,Pro,999,2025-12-21,2099-12-31,Active
192,222,Basic,499,2024-10-25,2099-12-31,Active
193,223,Enterprise,2999,2025-10-08,2099-12-31,Active
194,224,Enterprise,2999,2025-02-15,2099-12-31,Active
195,225,Enterprise,2999,2025-04-01,2099-12-31,Active
196,226,Pro,999,2025-02-15,2099-12-31,Active
197,227,Basic,499,2026-02-22,2026-08-02 00:00:00,Cancelled
198,228,Enterprise,2999,2026-05-14,2099-12-31,Active
199,229,Pro,999,2026-06-11,2099-12-31,Active
200,230,Pro,999,2026-02-26,2026-11-01 00:00:00,Cancelled
201,231,Pro,999,2024-11-04,2099-12-31,Active
202,232,Pro,999,2026-03-26,2099-12-31,Active
203,233,Basic,499,2026-04-20,2099-12-31,Active
204,234,Basic,499,2024-08-15,2099-12-31,Active
205,235,Enterprise,2999,2025-06-15,2099-12-31,Active
206,236,Pro,999,2025-12-12,2099-12-31,Active
207,237,Pro,999,2025-06-21,2099-12-31,Active
208,239,Pro,999,2025-05-04,2099-12-31,Active
209,240,Basic,499,2025-03-06,2099-12-31,Active
210,242,Pro,999,2026-03-14,2099-12-31,Active
211,243,Pro,999,2025-03-28,2025-08-05 00:00:00,Cancelled
212,244,Basic,499,2025-10-27,2099-12-31,Active
213,245,Enterprise,2999,2025-07-05,2099-12-31,Active
214,246,Enterprise,2999,2024-08-02,2099-12-31,Active
215,247,Basic,499,2025-08-08,2099-12-31,Active
216,248,Enterprise,2999,2026-06-09,2099-12-31,Active
217,249,Pro,999,2025-06-10,2099-12-31,Active
218,250,Enterprise,2999,2025-02-06,2099-12-31,Active
219,251,Enterprise,2999,2024-08-30,2025-05-19 00:00:00,Cancelled
220,252,Enterprise,2999,2024-08-18,2099-12-31,Active
221,253,Enterprise,2999,2024-08-29,2099-12-31,Active
222,254,Enterprise,2999,2026-05-02,2099-12-31,Active
223,255,Enterprise,2999,2025-05-07,2099-12-31,Active
224,256,Pro,999,2025-01-18,2099-12-31,Active
225,257,Basic,499,2025-02-12,2025-12-31 00:00:00,Cancelled
226,258,Basic,499,2024-12-04,2025-05-10 00:00:00,Cancelled
227,259,Pro,999,2026-01-13,2099-12-31,Active
228,260,Enterprise,2999,2026-04-09,2027-02-06 00:00:00,Cancelled
229,261,Basic,499,2026-05-04,2099-12-31,Active
230,262,Pro,999,2024-07-09,2099-12-31,Active
231,263,Basic,499,2024-12-15,2099-12-31,Active
232,265,Basic,499,2024-08-25,2099-12-31,Active
233,266,Basic,499,2025-05-08,2099-12-31,Active
234,267,Pro,999,2024-08-25,2099-12-31,Active
235,268,Enterprise,2999,2025-07-02,2099-12-31,Active
236,269,Pro,999,2025-04-21,2099-12-31,Active
237,270,Basic,499,2024-12-14,2099-12-31,Active
238,271,Basic,499,2026-01-02,2099-12-31,Active
239,272,Enterprise,2999,2024-09-01,2099-12-31,Active
240,273,Basic,499,2025-09-26,2099-12-31,Active
241,274,Basic,499,2024-10-13,2099-12-31,Active
242,275,Pro,999,2024-09-29,2099-12-31,Active
243,276,Basic,499,2025-09-09,2099-12-31,Active
244,277,Basic,499,2024-07-08,2099-12-31,Active
245,278,Basic,499,2025-02-22,2099-12-31,Active
246,279,Pro,999,2026-02-01,2099-12-31,Active
247,280,Enterprise,2999,2025-03-25,2099-12-31,Active
248,281,Basic,499,2025-06-10,2099-12-31,Active
249,282,Pro,999,2024-07-14,2024-10-31 00:00:00,Cancelled
250,283,Basic,499,2026-05-23,2099-12-31,Active
251,285,Basic,499,2024-06-25,2099-12-31,Active
252,286,Basic,499,2025-01-14,2099-12-31,Active
253,288,Basic,499,2024-11-28,2099-12-31,Active
254,289,Basic,499,2025-06-24,2099-12-31,Active
255,291,Enterprise,2999,2026-02-17,2026-04-10 00:00:00,Cancelled
256,292,Enterprise,2999,2025-11-01,2099-12-31,Active
257,293,Basic,499,2025-03-09,2099-12-31,Active
258,294,Basic,499,2025-09-19,2099-12-31,Active
259,295,Pro,999,2024-12-14,2025-06-05 00:00:00,Cancelled
260,296,Basic,499,2026-05-23,2099-12-31,Active
261,297,Pro,999,2025-06-02,2099-12-31,Active
262,299,Enterprise,2999,2025-09-12,2099-12-31,Active
263,300,Basic,499,2025-07-20,2099-12-31,Active
264,301,Pro,999,2024-11-21,2099-12-31,Active
265,302,Pro,999,2024-07-03,2099-12-31,Active
266,303,Basic,499,2025-12-20,2099-12-31,Active
267,304,Pro,999,2025-10-20,2099-12-31,Active
268,305,Enterprise,2999,2024-06-25,2099-12-31,Active
269,306,Enterprise,2999,2026-01-06,2099-12-31,Active
270,307,Pro,999,2026-02-11,2099-12-31,Active
271,308,Enterprise,2999,2025-07-23,2099-12-31,Active
272,309,Basic,499,2024-10-06,2099-12-31,Active
273,310,Pro,999,2025-03-08,2099-12-31,Active
274,311,Pro,999,2026-03-18,2099-12-31,Active
275,312,Basic,499,2026-05-09,2099-12-31,Active
276,313,Pro,999,2025-03-04,2025-08-13 00:00:00,Cancelled
277,314,Pro,999,2024-07-21,2099-12-31,Active
278,315,Pro,999,2024-09-11,2099-12-31,Active
279,316,Enterprise,2999,2024-09-13,2099-12-31,Active
280,317,Basic,499,2024-08-29,2099-12-31,Active
281,318,Enterprise,2999,2025-07-08,2099-12-31,Active
282,319,Basic,499,2026-04-10,2099-12-31,Active
283,320,Basic,499,2025-04-17,2099-12-31,Active
284,321,Enterprise,2999,2025-11-06,2099-12-31,Active
285,322,Basic,499,2026-05-28,2099-12-31,Active
286,323,Enterprise,2999,2024-10-24,2099-12-31,Active
287,324,Pro,999,2026-01-12,2099-12-31,Active
288,325,Pro,999,2026-03-12,2099-12-31,Active
289,326,Basic,499,2025-06-25,2026-05-29 00:00:00,Cancelled
290,327,Pro,999,2025-06-23,2099-12-31,Active
291,328,Pro,999,2025-11-22,2099-12-31,Active
292,330,Pro,999,2025-01-02,2025-02-02 00:00:00,Cancelled
293,331,Basic,499,2026-03-15,2099-12-31,Active
294,332,Enterprise,2999,2025-07-31,2099-12-31,Active
295,333,Enterprise,2999,2024-12-21,2099-12-31,Active
296,334,Pro,999,2026-05-19,2027-01-10 00:00:00,Cancelled
297,335,Basic,499,2025-12-29,2099-12-31,Active
298,336,Basic,499,2026-05-08,2099-12-31,Active
299,338,Enterprise,2999,2026-04-25,2099-12-31,Active
300,339,Enterprise,2999,2026-03-14,2099-12-31,Active
301,340,Pro,999,2026-02-06,2099-12-31,Active
302,341,Enterprise,2999,2026-05-19,2099-12-31,Active
303,343,Pro,999,2026-01-12,2099-12-31,Active
304,344,Basic,499,2024-07-19,2099-12-31,Active
305,345,Enterprise,2999,2026-06-09,2026-11-13 00:00:00,Cancelled
306,346,Enterprise,2999,2025-11-03,2099-12-31,Active
307,347,Enterprise,2999,2025-04-07,2099-12-31,Active
308,348,Pro,999,2024-09-25,2099-12-31,Active
309,349,Basic,499,2026-05-10,2099-12-31,Active
310,350,Pro,999,2025-05-28,2099-12-31,Active
311,351,Pro,999,2026-03-13,2099-12-31,Active
312,353,Pro,999,2025-10-17,2026-05-23 00:00:00,Cancelled
313,354,Enterprise,2999,2024-09-12,2099-12-31,Active
314,356,Basic,499,2025-12-07,2099-12-31,Active
315,357,Pro,999,2025-01-01,2025-11-04 00:00:00,Cancelled
316,358,Pro,999,2024-12-10,2099-12-31,Active
317,359,Pro,999,2025-06-28,2099-12-31,Active
318,362,Pro,999,2025-01-02,2099-12-31,Active
319,363,Enterprise,2999,2024-10-07,2099-12-31,Active
320,364,Basic,499,2026-01-02,2099-12-31,Active
321,365,Basic,499,2025-08-19,2099-12-31,Active
322,366,Enterprise,2999,2025-06-02,2026-01-24 00:00:00,Cancelled
323,367,Pro,999,2025-09-18,2099-12-31,Active
324,368,Basic,499,2025-02-17,2099-12-31,Active
325,369,Pro,999,2025-04-09,2099-12-31,Active
326,370,Basic,499,2025-04-02,2025-09-05 00:00:00,Cancelled
327,372,Enterprise,2999,2025-10-17,2025-12-20 00:00:00,Cancelled
328,373,Pro,999,2025-08-25,2099-12-31,Active
329,374,Enterprise,2999,2026-06-02,2027-03-24 00:00:00,Cancelled
330,375,Enterprise,2999,2025-08-26,2026-06-06 00:00:00,Cancelled
331,376,Pro,999,2026-02-06,2099-12-31,Active
332,377,Pro,999,2026-04-17,2099-12-31,Active
333,379,Basic,499,2025-03-24,2099-12-31,Active
334,380,Pro,999,2025-04-23,2099-12-31,Active
335,381,Pro,999,2025-04-15,2099-12-31,Active
336,382,Basic,499,2025-05-12,2099-12-31,Active
337,384,Enterprise,2999,2025-11-12,2026-01-26 00:00:00,Cancelled
338,385,Pro,999,2024-12-29,2099-12-31,Active
339,386,Enterprise,2999,2026-06-09,2099-12-31,Active
340,387,Pro,999,2025-04-04,2099-12-31,Active
341,388,Basic,499,2025-11-05,2099-12-31,Active
342,389,Basic,499,2026-03-07,2099-12-31,Active
343,390,Pro,999,2026-01-21,2099-12-31,Active
344,391,Enterprise,2999,2025-12-15,2099-12-31,Active
345,392,Enterprise,2999,2026-06-09,2099-12-31,Active
346,393,Enterprise,2999,2025-08-07,2025-10-29 00:00:00,Cancelled
347,394,Enterprise,2999,2025-06-30,2099-12-31,Active
348,395,Pro,999,2026-01-27,2099-12-31,Active
349,396,Basic,499,2024-11-29,2099-12-31,Active
350,398,Pro,999,2024-09-15,2099-12-31,Active
351,399,Basic,499,2025-05-18,2099-12-31,Active
352,400,Enterprise,2999,2025-11-11,2099-12-31,Active
353,402,Enterprise,2999,2024-08-15,2099-12-31,Active
354,404,Basic,499,2026-06-09,2099-12-31,Active
355,405,Basic,499,2025-08-27,2099-12-31,Active
356,406,Pro,999,2025-01-14,2099-12-31,Active
357,408,Pro,999,2024-10-16,2099-12-31,Active
358,409,Pro,999,2025-10-08,2099-12-31,Active
359,410,Basic,499,2026-06-08,2099-12-31,Active
360,411,Pro,999,2024-11-09,2099-12-31,Active
361,412,Enterprise,2999,2026-04-06,2099-12-31,Active
362,413,Basic,499,2026-06-18,2099-12-31,Active
363,414,Pro,999,2024-09-04,2099-12-31,Active
364,415,Pro,999,2025-03-26,2099-12-31,Active
365,416,Basic,499,2024-09-10,2099-12-31,Active
366,417,Pro,999,2025-06-16,2099-12-31,Active
367,418,Enterprise,2999,2025-04-16,2099-12-31,Active
368,419,Basic,499,2025-07-22,2099-12-31,Active
369,420,Pro,999,2025-11-06,2099-12-31,Active
370,421,Basic,499,2026-02-22,2099-12-31,Active
371,422,Enterprise,2999,2026-06-08,2099-12-31,Active
372,423,Pro,999,2026-05-29,2026-07-30 00:00:00,Cancelled
373,424,Pro,999,2025-06-12,2099-12-31,Active
374,425,Pro,999,2025-06-24,2099-12-31,Active
375,426,Basic,499,2025-02-09,2099-12-31,Active
376,427,Pro,999,2025-03-29,2099-12-31,Active
377,430,Enterprise,2999,2024-12-16,2099-12-31,Active
378,432,Basic,499,2026-06-11,2099-12-31,Active
379,433,Pro,999,2026-01-07,2099-12-31,Active
380,434,Basic,499,2025-12-29,2099-12-31,Active
381,435,Enterprise,2999,2025-11-20,2099-12-31,Active
382,436,Basic,499,2026-05-31,2099-12-31,Active
383,437,Pro,999,2024-11-23,2025-03-18 00:00:00,Cancelled
384,438,Enterprise,2999,2025-02-12,2025-09-06 00:00:00,Cancelled
385,439,Enterprise,2999,2025-06-30,2099-12-31,Active
386,440,Basic,499,2024-09-06,2099-12-31,Active
387,441,Enterprise,2999,2026-06-20,2099-12-31,Active
388,442,Basic,499,2025-04-15,2026-02-08 00:00:00,Cancelled
389,443,Enterprise,2999,2025-09-04,2099-12-31,Active
390,444,Pro,999,2025-02-10,2099-12-31,Active
391,445,Enterprise,2999,2026-03-25,2099-12-31,Active
392,447,Basic,499,2024-10-06,2099-12-31,Active
393,448,Pro,999,2024-06-26,2099-12-31,Active
394,449,Pro,999,2025-12-06,2099-12-31,Active
395,450,Basic,499,2024-08-03,2099-12-31,Active
396,451,Basic,499,2025-06-16,2099-12-31,Active
397,452,Enterprise,2999,2024-09-03,2099-12-31,Active
398,453,Pro,999,2025-06-21,2026-05-28 00:00:00,Cancelled
399,454,Pro,999,2025-04-17,2099-12-31,Active
400,455,Enterprise,2999,2024-06-22,2025-01-13 00:00:00,Cancelled
401,456,Enterprise,2999,2026-03-22,2099-12-31,Active
402,457,Pro,999,2025-04-09,2099-12-31,Active
403,458,Pro,999,2025-12-24,2099-12-31,Active
404,459,Basic,499,2025-08-09,2099-12-31,Active
405,460,Pro,999,2026-03-31,2099-12-31,Active
406,461,Enterprise,2999,2026-03-08,2099-12-31,Active
407,462,Basic,499,2025-02-26,2099-12-31,Active
408,463,Basic,499,2025-07-14,2025-11-07 00:00:00,Cancelled
409,464,Basic,499,2024-09-03,2099-12-31,Active
410,465,Pro,999,2025-07-09,2099-12-31,Active
411,466,Basic,499,2025-07-29,2099-12-31,Active
412,467,Pro,999,2026-03-25,2099-12-31,Active
413,468,Basic,499,2025-06-26,2099-12-31,Active
414,469,Basic,499,2024-11-06,2099-12-31,Active
415,470,Enterprise,2999,2025-01-18,2099-12-31,Active
416,471,Pro,999,2024-11-13,2099-12-31,Active
417,472,Enterprise,2999,2024-07-12,2099-12-31,Active
418,474,Enterprise,2999,2025-09-05,2099-12-31,Active
419,475,Enterprise,2999,2025-04-18,2025-07-02 00:00:00,Cancelled
420,476,Basic,499,2025-05-12,2099-12-31,Active
421,477,Pro,999,2025-03-07,2099-12-31,Active
422,478,Basic,499,2025-03-31,2099-12-31,Active
423,479,Basic,499,2025-09-17,2026-02-02 00:00:00,Cancelled
424,480,Enterprise,2999,2025-09-06,2025-10-17 00:00:00,Cancelled
425,481,Basic,499,2026-01-16,2099-12-31,Active
426,482,Pro,999,2025-09-17,2099-12-31,Active
427,483,Basic,499,2025-04-26,2099-12-31,Active
428,484,Pro,999,2025-02-07,2099-12-31,Active
429,485,Enterprise,2999,2025-07-12,2026-05-02 00:00:00,Cancelled
430,486,Basic,499,2025-07-22,2099-12-31,Active
431,487,Pro,999,2025-11-17,2099-12-31,Active
432,489,Enterprise,2999,2024-11-27,2099-12-31,Active
433,490,Enterprise,2999,2026-04-11,2099-12-31,Active
434,491,Basic,499,2026-06-07,2099-12-31,Active
435,492,Basic,499,2026-03-19,2027-01-27 00:00:00,Cancelled
436,493,Pro,999,2026-03-30,2026-08-11 00:00:00,Cancelled
437,494,Basic,499,2026-05-09,2099-12-31,Active
438,495,Basic,499,2025-08-29,2099-12-31,Active
439,497,Enterprise,2999,2024-11-19,2099-12-31,Active
440,498,Pro,999,2026-04-29,2099-12-31,Active
441,499,Pro,999,2025-03-05,2099-12-31,Active
442,500,Enterprise,2999,2024-09-17,2099-12-31,Active
443,501,Basic,499,2026-03-29,2099-12-31,Active
444,502,Basic,499,2024-12-09,2099-12-31,Active
445,503,Basic,499,2025-06-16,2099-12-31,Active
446,504,Pro,999,2026-05-20,2099-12-31,Active
447,505,Enterprise,2999,2026-01-12,2099-12-31,Active
448,506,Pro,999,2025-09-22,2099-12-31,Active
449,507,Pro,999,2025-12-29,2026-08-17 00:00:00,Cancelled
450,508,Enterprise,2999,2024-12-27,2099-12-31,Active
451,510,Basic,499,2024-09-02,2025-02-12 00:00:00,Cancelled
452,511,Enterprise,2999,2026-05-19,2099-12-31,Active
453,512,Pro,999,2025-02-15,2099-12-31,Active
454,513,Pro,999,2025-12-31,2099-12-31,Active
455,514,Pro,999,2025-02-15,2099-12-31,Active
456,516,Basic,499,2025-07-24,2099-12-31,Active
457,517,Basic,499,2025-12-20,2099-12-31,Active
458,518,Enterprise,2999,2025-03-07,2025-04-19 00:00:00,Cancelled
459,519,Basic,499,2026-05-02,2099-12-31,Active
460,520,Enterprise,2999,2024-06-28,2099-12-31,Active
461,521,Enterprise,2999,2025-03-29,2025-06-04 00:00:00,Cancelled
462,522,Enterprise,2999,2024-10-11,2025-05-04 00:00:00,Cancelled
463,523,Pro,999,2025-03-14,2099-12-31,Active
464,524,Pro,999,2025-09-28,2099-12-31,Active
465,525,Pro,999,2026-03-16,2026-10-13 00:00:00,Cancelled
466,526,Enterprise,2999,2025-03-04,2099-12-31,Active
467,527,Enterprise,2999,2025-12-14,2099-12-31,Active
468,528,Enterprise,2999,2025-04-03,2099-12-31,Active
469,529,Enterprise,2999,2026-05-23,2099-12-31,Active
470,530,Pro,999,2024-09-05,2025-07-18 00:00:00,Cancelled
471,531,Pro,999,2026-06-20,2099-12-31,Active
472,532,Basic,499,2025-05-01,2099-12-31,Active
473,533,Basic,499,2025-09-19,2099-12-31,Active
474,534,Pro,999,2025-08-10,2099-12-31,Active
475,535,Pro,999,2026-01-12,2099-12-31,Active
